"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"199"	"Div5_set2"	"Mid"	"A12"	"Cont"	NA	NA	NA	"K"	0.0881495619225987	9.04291537378985
"200"	"Div5_set2"	"Mid"	"A12"	"Cont"	NA	NA	NA	"l"	20.7367415826258	9.04291537378985
"201"	"Div5_set2"	"Mid"	"A12"	"Cont"	NA	NA	NA	"r"	0.0761790832111588	9.04291537378985
"202"	"Div5_set2"	"Mid"	"A11"	"Cont"	NA	NA	NA	"K"	0.108310370005128	10.8974888051387
"203"	"Div5_set2"	"Mid"	"A11"	"Cont"	NA	NA	NA	"l"	17.8567916682107	10.8974888051387
"204"	"Div5_set2"	"Mid"	"A11"	"Cont"	NA	NA	NA	"r"	0.0113649328679554	10.8974888051387
"205"	"Div5_set2"	"Mid"	"A10"	"Cont"	NA	NA	NA	"K"	0.144017563869802	14.7061421983021
"206"	"Div5_set2"	"Mid"	"A10"	"Cont"	NA	NA	NA	"l"	21.1636093064471	14.7061421983021
"207"	"Div5_set2"	"Mid"	"A10"	"Cont"	NA	NA	NA	"r"	0.11597832189288	14.7061421983021
"208"	"Div5_set2"	"Mid"	"A09"	"Cont"	NA	NA	NA	"K"	0.131321687947697	13.4001609320751
"209"	"Div5_set2"	"Mid"	"A09"	"Cont"	NA	NA	NA	"l"	21.2935300149958	13.4001609320751
"210"	"Div5_set2"	"Mid"	"A09"	"Cont"	NA	NA	NA	"r"	0.112448743858924	13.4001609320751
"211"	"Div5_set2"	"Mid"	"A08"	"Cont"	NA	NA	NA	"K"	0.165848592662543	16.7929198908096
"212"	"Div5_set2"	"Mid"	"A08"	"Cont"	NA	NA	NA	"l"	19.0345781295211	16.7929198908096
"213"	"Div5_set2"	"Mid"	"A08"	"Cont"	NA	NA	NA	"r"	0.0259315869538806	16.7929198908096
"214"	"Div5_set2"	"Mid"	"A07"	"Cont"	NA	NA	NA	"K"	0.166304312566212	16.9735059142948
"215"	"Div5_set2"	"Mid"	"A07"	"Cont"	NA	NA	NA	"l"	21.3098586023134	16.9735059142948
"216"	"Div5_set2"	"Mid"	"A07"	"Cont"	NA	NA	NA	"r"	0.149997503100129	16.9735059142948
"217"	"Div5_set2"	"Mid"	"A06"	"Cont"	NA	NA	NA	"K"	0.130190687414126	13.2855810747449
"218"	"Div5_set2"	"Mid"	"A06"	"Cont"	NA	NA	NA	"l"	21.3425116085228	13.2855810747449
"219"	"Div5_set2"	"Mid"	"A06"	"Cont"	NA	NA	NA	"r"	0.119758120578353	13.2855810747449
"220"	"Div5_set2"	"Mid"	"A05"	"Cont"	NA	NA	NA	"K"	0.17792348833638	18.1425546816315
"221"	"Div5_set2"	"Mid"	"A05"	"Cont"	NA	NA	NA	"l"	21.1380647938508	18.1425546816315
"222"	"Div5_set2"	"Mid"	"A05"	"Cont"	NA	NA	NA	"r"	0.115834380717204	18.1425546816315
"223"	"Div5_set2"	"Mid"	"A04"	"Cont"	NA	NA	NA	"K"	0.180824567718121	18.2705659499438
"224"	"Div5_set2"	"Mid"	"A04"	"Cont"	NA	NA	NA	"l"	19.4553599565662	18.2705659499438
"225"	"Div5_set2"	"Mid"	"A04"	"Cont"	NA	NA	NA	"r"	0.0299396003408954	18.2705659499438
"226"	"Div5_set2"	"Mid"	"A03"	"Cont"	NA	NA	NA	"K"	0.140483225753512	14.1968824768756
