sampling	CellsL	CellsD	CellsT	pDead	DIV	Tox	BOT	ToxC
08/10/13	485557.9276	29048.12099	514606.0486	5.644729802	5	0	11	0
08/10/13	485557.9276	29048.12099	514606.0486	5.644729802	5	0	30	0
08/10/13	478400.3924	31087.39012	509487.7825	6.101694915	5	2	31	2.51E-08
08/10/13	1081923.893	24567.59352	1106491.486	2.220314735	5	5	34	3.98E-10
08/10/13	575330.5092	76701.85703	652032.3662	11.76350454	5	3	38	6.31E-09
08/10/13	1000591.008	21209.9496	1021800.958	2.075741801	5	6	46	1.00E-10
08/10/13	34767.63469	12565.47667	47333.11135	26.54690619	S	0	NA	NA
08/10/13	41414.83221	13528.29188	54943.12409	24.6223565	S	0	NA	NA
08/10/13	17359.03053	12360.35682	29719.38735	41.59021407	S	0	NA	NA
08/10/13	40184.3314	12904.02021	53088.35161	24.30668842	S	0	NA	NA
10/10/13	4119456.077	236314.33	4355770.407	5.425316487	1	2	3	2.51E-08
10/10/13	4017964.66	187424.3575	4205389.018	4.456766229	1	5	7	3.98E-10
10/10/13	4105499.067	284787.2933	4390286.36	6.486758947	1	6	18	1.00E-10
10/10/13	3921415.864	192904.6802	4114320.545	4.68861573	1	0	20	0
10/10/13	3921415.864	192904.6802	4114320.545	4.68861573	1	0	27	0
10/10/13	3921415.864	192904.6802	4114320.545	4.68861573	1	0	35	0
10/10/13	3976032.107	302545.1549	4278577.262	7.071162593	1	3	23	6.31E-09
10/10/13	4181570.653	281340.9079	4462911.561	6.303976766	1	0	20	0
10/10/13	4181570.653	281340.9079	4462911.561	6.303976766	1	0	27	0
10/10/13	4181570.653	281340.9079	4462911.561	6.303976766	1	0	35	0
10/10/13	4235462.587	285377.1181	4520839.705	6.312480352	1	4	28	1.58E-09
10/10/13	4059413.786	245657.1036	4305070.89	5.706226676	1	0	20	0
10/10/13	4059413.786	245657.1036	4305070.89	5.706226676	1	0	27	0
10/10/13	4059413.786	245657.1036	4305070.89	5.706226676	1	0	35	0
10/10/13	4164332.677	184376.6981	4348709.375	4.239802714	1	1	36	1.00E-07
10/10/13	1668361.876	65969.86184	1734331.738	3.803762589	2	0	2	0
10/10/13	1668361.876	65969.86184	1734331.738	3.803762589	2	0	43	0
10/10/13	1668361.876	65969.86184	1734331.738	3.803762589	2	0	44	0
10/10/13	1567046.224	57608.61154	1624654.835	3.545898507	2	6	5	1.00E-10
10/10/13	1684411.249	44233.79238	1728645.042	2.558870752	2	3	12	6.31E-09
10/10/13	1663446.169	87882.6653	1751328.834	5.01805621	2	5	19	3.98E-10
10/10/13	1539227.404	93335.90608	1632563.31	5.717138532	2	4	24	1.58E-09
10/10/13	1548391.691	41693.62104	1590085.312	2.622099627	2	2	25	2.51E-08
10/10/13	1809555.117	73388.40299	1882943.52	3.897536077	2	1	32	1.00E-07
10/10/13	1775203.677	51605.77625	1826809.453	2.82491292	2	0	2	0
10/10/13	1775203.677	51605.77625	1826809.453	2.82491292	2	0	43	0
10/10/13	1775203.677	51605.77625	1826809.453	2.82491292	2	0	44	0
10/10/13	1682162.444	40110.12731	1722272.572	2.328907048	2	0	2	0
10/10/13	1682162.444	40110.12731	1722272.572	2.328907048	2	0	43	0
10/10/13	1682162.444	40110.12731	1722272.572	2.328907048	2	0	44	0
10/10/13	1177165.467	170830.1836	1347995.651	12.67290317	3	4	1	1.58E-09
10/10/13	1338143.368	150532.0825	1488675.451	10.11181332	3	0	4	0
10/10/13	1338143.368	150532.0825	1488675.451	10.11181332	3	0	26	0
10/10/13	1338143.368	150532.0825	1488675.451	10.11181332	3	0	41	0
10/10/13	1453631.656	60619.77328	1514251.429	4.003283215	3	3	10	6.31E-09
10/10/13	1877121.68	116846.0772	1993967.757	5.859978265	3	5	16	3.98E-10
10/10/13	1318207.822	142602.2108	1460810.033	9.761858664	3	0	4	0
10/10/13	1318207.822	142602.2108	1460810.033	9.761858664	3	0	26	0
10/10/13	1318207.822	142602.2108	1460810.033	9.761858664	3	0	41	0
10/10/13	999166.0473	184142.0427	1183308.09	15.56163135	3	1	37	1.00E-07
10/10/13	1556650.151	24452.99363	1581103.144	1.546578015	3	6	40	1.00E-10
10/10/13	1480207.315	131521.877	1611729.192	8.160296257	3	0	4	0
10/10/13	1480207.315	131521.877	1611729.192	8.160296257	3	0	26	0
10/10/13	1480207.315	131521.877	1611729.192	8.160296257	3	0	41	0
10/10/13	1989701.568	29102.90758	2018804.475	1.441591196	3	2	42	2.51E-08
10/10/13	1771671.315	202986.56	1974657.875	10.27958121	4	0	6	0
10/10/13	1771671.315	202986.56	1974657.875	10.27958121	4	0	8	0
10/10/13	1771671.315	202986.56	1974657.875	10.27958121	4	0	29	0
10/10/13	1395678.923	18604.45861	1414283.381	1.31546894	4	0	6	0
10/10/13	1395678.923	18604.45861	1414283.381	1.31546894	4	0	8	0
10/10/13	1395678.923	18604.45861	1414283.381	1.31546894	4	0	29	0
10/10/13	1862389.634	31606.9767	1893996.611	1.668797954	4	2	14	2.51E-08
10/10/13	1112520.652	19048.27417	1131568.926	1.683350764	4	5	17	3.98E-10
10/10/13	665939.9123	37591.50501	703531.4173	5.343258892	4	0	6	0
10/10/13	665939.9123	37591.50501	703531.4173	5.343258892	4	0	8	0
10/10/13	665939.9123	37591.50501	703531.4173	5.343258892	4	0	29	0
10/10/13	1609551.989	24275.0666	1633827.056	1.485779447	4	4	39	1.58E-09
